ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MaritalStatus,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,PaymentHistory,SavingsAccountBalance,MonthlyIncome,NetWorth,InterestRate,LoanApproved,RiskScore
13-01-2018,42,74453,,Employed,Bachelor,16154,60,Married,Rent,258,0.371033592,Debt Consolidation,26,781,6204.416667,5231,0.255684531,0,56
14-01-2018,18,,580,Employed,Associate,20439,,Married,Rent,247,0.58136098,Other,20,2027,8375.666667,82783,0.245374274,0,63
15-10-2018,19,47624,,Empolyed,Bachelro,27197,36,Married,Mortgage,196,0.751514819,Debt Consolidation,15,2971,3968.666667,35918,0.202228922,0,58
16-01-2018,33,56650,605,Employed,Doctorate,12652,36,Single,Mortgage,336,0.044156804,Auto,21,242,4720.833333,250291,0.216412752,1,33.6
17-01-2018,27,50042,582,,Doctorate,,60,Single,Rent,680,0.308869314,Debt Consolidation,36,2214,4170.166667,7021,0.187129387,0,53
18-10-2018,43,142326,644,EMPOLYED,Bahcelor,,96,Widowed,Mortgage,772,0.295469876,Other,18,13247,11860.5,69623,0.223794765,1,39.2
19-01-2018,29,16021,553,Employed,High School,14655,72,Single,Rent,286,0.10456869,Debt Consolidation,25,8651,1335.083333,3933,0.234766213,0,59
20-01-2018,23,34698,594,Employed,Associate,14314,60,Widowed,Mortgage,755,0.100597962,Debt Consolidation,27,3721,2891.5,55430,0.231478314,0,48
21-01-2018,57,,630,Employed,Master,15698,,Single,Rent,1059,0.147279682,Auto,21,1686,8895.75,204416,0.204412692,1,32.8
22-01-2018,37,59138,594,Employed,Associate,13205,72,Married,Own,564,0.111663227,Auto,18,1187,4928.166667,5576,0.211443961,0,51
23-01-2018,40,,635,,Doctorate,9809,,Single,Rent,571,0.630448393,Home,26,720,9518,2482,0.201114034,1,46.4
24-01-2018,22,63300,503,Employed,Associate,16476,24,Married,Rent,376,0.235798589,Home,29,2154,5275,6903,0.231670288,0,53
25-01-2018,33,39676,555,Employed,Master,47795,60,Single,Other,199,0.573394538,Home,19,840,3306.333333,81172,0.253474142,0,60
26-01-2018,41,59192,594,Unemployed,High School,45608,36,Divorced,Mortgage,222,0.230115845,Auto,18,21084,4932.666667,58413,0.200682644,0,58
27-01-2018,26,15059,462,Employed,Associate,20240,24,Single,Other,443,0.067066338,Home,16,713,1254.916667,16754,0.246020665,0,51
28-01-2018,44,15305,608,Self-Employed,Bachelor,21452,48,Single,Mortgage,443,0.063153792,Home,21,9547,1275.416667,9931,0.225375302,0,51
29-01-2018,32,35498,622,,,11136,36,Married,Own,698,0.176444352,Home,18,1346,2958.166667,2705,0.164845971,0,48
30-01-2018,36,60227,576,Employed,Bachelor,25264,84,Divorced,Own,458,0.144112682,Home,27,5391,5018.916667,105395,0.239128971,1,36.8
31-01-2018,32,23861,592,Self-Employed,High School,19570,36,Married,Other,521,0.223711225,Auto,29,3348,1988.416667,76539,0.197034892,0,55
01-02-2018,62,73843,667,Unemployed,Master,44668,60,Single,Other,388,0.156913701,Home,16,17023,6153.583333,3068,0.234603328,0,62
02-02-2081,39,61099,559,,Bahcelor,10094,84,Married,Mortgage,380,0.265219566,Auto,21,2987,5091.583333,46283,0.261050046,0,51
03-02-2081,27,15000,535,mEployed,,11318,120,Single,Mortgage,721,0.448384819,Home,15,4172,1250,290269,0.343594011,0,53
04-02-2018,49,34738,520,,Associate,10166,72,Single,Mortgage,388,0.314513811,Home,27,1767,2894.833333,238326,0.273933243,0,55
05-02-2018,25,85889,571,Employed,Bachelor,24186,72,Married,Rent,870,0.050538644,Education,31,14921,7157.416667,13345,0.279617748,0,49
06-02-2018,42,78701,552,Employed,Associate,18326,60,Married,Rent,482,0.071301978,Home,25,463,6558.416667,140566,0.218912351,1,36
07-02-2018,18,,604,Employed,Master,8015,,Married,Mortgage,327,0.64426586,Auto,17,2612,2076.166667,41853,0.152812,1,45.6
08-02-2018,24,57231,508,Unemployed,Associate,35876,48,Married,Rent,370,0.134740613,Auto,20,7737,4769.25,140547,0.230468198,0,50
09-02-2018,42,163303,655,Self-Employed,Bachelor,12850,72,Single,Other,337,0.072959106,Debt Consolidation,19,3012,13608.58333,97422,0.189531294,1,37.6
10-02-2018,48,38453,595,Unemployed,High School,30517,48,Divorced,Own,560,0.103003265,Home,22,5165,3204.416667,42871,0.226230533,0,54
11-02-2018,42,99920,582,Self-Employed,Bachelor,23363,12,Single,Other,298,0.20583096,Debt Consolidation,20,991,8326.666667,4209,0.175435686,1,44.8
12-02-2018,38,57860,591,Employed,High School,25576,96,Married,Rent,159,0.074387032,Auto,27,2059,4821.666667,437436,0.287654958,0,47
13-02-2018,36,30890,590,Employed,High School,10176,24,Divorced,Own,289,0.124730217,Education,23,11162,2574.166667,14676,0.176526645,0,53
14-02-2018,22,15561,500,Employed,High School,20169,36,Single,Rent,346,0.374558377,Debt Consolidation,25,1929,1296.75,11052,0.2423903,0,55
15-02-2018,31,105957,530,Employed,High School,53987,72,Single,Other,399,0.621059192,Auto,31,4218,8829.75,95758,0.326750988,0,54
16-02-2018,34,82887,545,Employed,High School,20996,84,Divorced,Other,471,0.151595948,Other,19,16502,6907.25,4958,0.279583208,0,50
17-02-2018,52,53555,631,Employed,Associate,29418,60,Divorced,Own,221,0.147909138,Education,28,9902,4462.916667,2753,0.21766388,0,47
18-02-2018,44,105639,627,Employed,High School,20409,108,Widowed,Rent,387,0.327078397,Home,22,3379,8803.25,142935,0.263740227,0,46
19-02-2018,18,58342,519,Employed,High School,10077,24,Single,Mortgage,592,0.192869156,Debt Consolidation,20,5076,4861.833333,9558,0.26069905,0,50
20-02-2018,43,121939,653,Employed,,41215,48,Divorced,Mortgage,220,0.244425123,Other,30,1365,10161.58333,185710,0.18464928,1,32.8
21-02-2018,35,16054,526,Employed,Associate,20612,36,Married,Own,465,0.206533044,Education,25,4127,1337.833333,39270,0.231663828,0,53
22-02-2018,31,36057,592,Employed,Associate,29501,36,Married,Other,384,0.187428659,Home,18,2220,3004.75,1500,0.214285281,0,51
23-02-2018,47,124086,631,Employed,High School,36798,24,Widowed,Mortgage,713,0.339714475,Auto,27,3281,10340.5,10479,0.167651799,1,39.2
24-02-2018,52,272693,586,Employed,Bachelor,19717,84,Married,Rent,278,0.270157502,Auto,19,801,22724.41667,88895,0.218114526,1,38.4
25-02-2018,51,48757,615,Employed,Bachelor,16173,84,Divorced,Mortgage,817,0.305376717,Debt Consolidation,28,21739,4063.083333,3120,0.221322805,0,52
26-02-2018,29,31683,498,Employed,Associate,10566,24,Married,Other,183,0.090370619,Debt Consolidation,22,30896,2640.25,154938,0.209471438,0,48
27-02-2018,36,69003,499,Self-Employed,Associate,5376,96,Single,Mortgage,458,0.174379819,Auto,28,983,5750.25,13502,0.248414968,1,42.4
28-02-2018,43,72408,616,Employed,Bachelor,23181,48,Married,Rent,803,0.365438817,Debt Consolidation,22,3815,6034,5786,0.2522172,0,63
01-03-2018,51,105087,653,Employed,Master,48331,108,Single,Mortgage,772,0.180557546,Auto,22,21204,8757.25,142052,0.273712499,0,44
02-03-2018,34,15000,607,Employed,Master,,96,Married,Own,468,0.350112392,Home,18,2232,1250,223211,0.276450517,0,48
03-03-2018,37,38513,600,Self-Employed,High School,21225,48,Divorced,Rent,373,0.168435829,Education,22,1458,3209.416667,16183,0.231104163,0,52
04-03-2018,26,77555,527,Employed,Bachelor,22854,36,Married,Rent,499,0.188278148,Education,19,8710,6462.916667,29447,0.199930067,1,39.2
05-03-2018,25,15000,576,Employed,High School,18177,48,Single,Mortgage,528,0.236083226,Home,25,5689,1250,1077,0.219854905,0,57
06-03-2018,49,24973,611,Employed,Bachelor,,48,Married,Own,336,0.414994447,Auto,23,3167,2081.083333,14823,0.221443098,0,55
07-03-2018,56,18248,,Employed,Associate,16443,24,Divorced,Own,733,0.063628336,Home,23,2682,1520.666667,192648,0.173698456,0,48
08-03-2018,39,67367,615,Self-Employed,Associate,26889,48,Married,Mortgage,317,0.46591212,Debt Consolidation,29,8241,5613.916667,99087,0.1715112,1,42.4
09-03-2018,52,32418,647,Employed,Bachelor,32208,12,Married,Rent,447,0.318759767,Auto,26,2926,2701.5,313319,0.1507094,0,50
10-03-2018,44,26879,649,Employed,Bachelor,20313,60,Married,Rent,562,0.219649579,Home,22,4029,2239.916667,71090,0.198963951,0,50
11-03-2018,32,54128,620,Employed,Bachelor,20676,36,Single,Mortgage,322,0.100135921,Home,32,4943,4510.666667,87804,0.177753037,1,36.8
0218-03-12,44,19924,535,Emplyoed,Hihg School,21767,48,Married,Mortgage,495,0.384352371,Education,32,21032,1660.333333,14660,0.2991204,0,56
13-03-2018,58,90788,672,Employed,Bachelor,18243,36,Married,Mortgage,153,0.146633465,Debt Consolidation,20,1980,7565.666667,5911,0.140428569,1,34.4
14-03-2018,39,190445,619,Employed,Master,28894,36,Single,Mortgage,304,0.012833162,Other,24,2857,15870.41667,115773,0.214125306,1,33.6
15-03-2018,58,35372,612,Employed,High School,25313,24,Married,Mortgage,424,0.404388836,Education,20,2811,2947.666667,119179,0.196999658,0,50
16-03-2018,18,15000,,Employed,Associate,50226,48,Married,Mortgage,537,0.226735283,Debt Consolidation,16,3575,1250,82198,0.228380006,0,58
17-03-2018,49,40829,617,Employed,Bachelor,25478,36,Married,Mortgage,785,0.253745924,Auto,11,2267,3402.416667,34774,0.179312099,0,49
18-03-2018,41,58655,523,Employed,Associate,26493,96,Single,Mortgage,206,0.175187563,Other,24,2003,4887.916667,22423,0.334440137,0,51
19-03-2018,36,68801,531,Employed,Bachelor,18652,36,Single,Rent,1044,0.335232924,Auto,30,1810,5733.416667,429421,0.2857824,0,53
20-03-2018,41,,,Employed,Bachelor,31116,,Single,Rent,396,0.221117214,Home,20,3025,7727.583333,7629,0.215424503,0,50
21-03-2018,18,40050,545,Self-Employed,Doctorate,112253,48,Married,Rent,406,0.184527533,Home,33,1506,3337.5,7672,0.358485696,0,64
22-03-2018,37,40784,,Employed,Master,41465,72,Married,Own,370,0.203760957,Home,26,21978,3398.666667,172083,0.292763473,0,45
23-03-2018,44,15000,,Employed,High School,26563,48,Married,Mortgage,378,0.298108408,Home,24,1357,1250,474038,0.209816068,0,48
24-03-2018,57,86699,615,Employed,Associate,7469,60,Single,Rent,413,0.179135546,Home,18,1872,7224.916667,8130,0.198849737,1,36
25-03-2018,33,,540,Employed,,17801,,Married,Own,226,0.355642791,Debt Consolidation,38,8380,1473,48674,0.243880793,0,55
26-03-2018,30,42752,517,Employed,High School,14379,36,Married,Rent,363,0.297587934,Auto,18,6094,3562.666667,146382,0.239661812,0,53
27-03-2018,33,29096,570,Employed,Associate,40138,24,Married,Other,685,0.23944694,Debt Consolidation,28,1461,2424.666667,36237,0.248600622,0,53
28-03-2018,50,60992,663,Employed,Bachelor,24642,48,Single,Rent,664,0.055588171,Home,28,4726,5082.666667,38852,0.216449288,0,44
29-03-2018,43,100032,524,,Master,19105,60,Married,Mortgage,824,0.226649868,Education,24,9197,8336,45588,0.209684,1,49.6
30-03-2018,33,35882,620,Employed,Master,9259,48,Single,Own,257,0.147593005,Home,23,3552,2990.166667,8266,0.200011478,0,47
31-03-2018,46,32781,623,Employed,High School,17468,60,Married,Other,1180,0.093777322,Debt Consolidation,23,7428,2731.75,294254,0.232065323,0,41
01-04-2018,41,51707,585,,Bachelor,20069,72,Married,Rent,407,0.217388379,Home,25,3815,4308.916667,2253,0.268223329,0,52
02-04-2018,51,31251,596,Unemployed,Bachelor,66582,24,Single,Rent,357,0.160169554,Home,21,2313,2604.25,3276,0.24745644,0,61
03-04-2018,31,22359,524,Employed,High School,26889,48,Married,Mortgage,216,0.455259931,Auto,14,24764,1863.25,84640,0.240713535,0,57
2018-40-04,36,152650,610,mEployed,Asosciate,24815,48,Married,Other,148,0.384307506,Home,21,4346,12720.83333,37909,0.21351149,1,38.4
05-04-2018,35,15120,562,Self-Employed,Master,21849,84,Married,Rent,423,0.238644521,Debt Consolidation,24,1874,1260,3825,0.244170701,0,58
06-04-2018,22,59830,570,Self-Employed,Associate,22734,24,Single,Rent,246,0.572327682,Debt Consolidation,29,2511,4985.833333,435808,0.174626639,1,45.6
07-04-2018,43,55308,645,Employed,Doctorate,19539,72,Single,Other,362,0.266209929,Debt Consolidation,29,5995,4609,93747,0.1696312,1,36.8
08-04-2018,43,30948,601,,Bachelor,25291,36,Married,Mortgage,286,0.360348689,Auto,19,7167,2579,78660,0.223307718,0,49
09-04-2018,40,56940,592,Employed,Associate,15752,96,Married,Mortgage,213,0.117237585,Debt Consolidation,20,1349,4745,64448,0.261601498,0,50
10-04-2018,37,44000,539,Employed,High School,28714,60,Married,Rent,457,0.199994093,Home,10,5872,3666.666667,301790,0.244173748,0,46
11-04-2018,23,81554,509,Employed,High School,35101,72,Married,Rent,519,0.29432355,Home,23,3233,6796.166667,69780,0.316512275,0,49
12-04-2018,34,26567,612,Employed,Bachelor,17339,60,Single,Mortgage,194,0.065337074,Education,17,2738,2213.916667,9625,0.232191325,0,48
13-04-2018,35,,596,EMPLOYED,Bachelor,37172,,Divorced,Mortgage,212,0.032588299,Home,20,2103,2797.416667,33106,0.224569569,0,52
14-04-2018,30,94238,608,Employed,Bachelor,15917,36,Married,Own,203,0.458928082,Home,23,3382,7853.166667,41531,0.187632533,1,44
15-04-2018,38,45145,587,Employed,Bachelor,11431,48,Divorced,Mortgage,879,0.297410249,Education,27,7060,3762.083333,93155,0.196131632,1,40
16-04-2018,44,70881,597,Employed,Master,34590,48,Divorced,Rent,324,0.117077159,Home,22,2050,5906.75,1188,0.214166498,0,50
17-04-2018,62,105240,656,Employed,Associate,13937,108,Widowed,Mortgage,391,0.198300231,Home,32,1960,8770,33814,0.229707857,0,55
18-04-2018,42,63709,517,Unemployed,Bachelor,22221,48,Single,Mortgage,623,0.473213044,Auto,41,3930,5309.083333,68037,0.265423641,0,57
19-04-2018,43,31713,487,Self-Employed,Bachelor,38865,48,Married,Rent,314,0.601057214,Auto,20,395,2642.75,6605,0.286430461,0,64
2018-042-0,39,29900,536,Epmloyed,,23396,72,Single,Mortgage,589,0.185815459,Debt Consolidation,28,470,2491.666667,2585,0.299452038,0,54
21-04-2018,18,,608,Employed,Master,10667,,Single,Mortgage,725,0.385683147,Auto,23,1134,7306.083333,66069,0.240020391,1,43.2
22-04-2018,39,55454,565,Self-Employed,Bachelor,35551,36,Married,Mortgage,1206,0.52638809,Auto,22,4159,4621.166667,5939,0.254148219,0,61
23-04-2018,40,40722,558,Employed,High School,31637,120,Married,Own,269,0.143886778,Auto,22,9140,3393.5,121086,0.302798547,0,47
24-04-2018,69,76571,680,Employed,Master,34173,48,Married,Rent,407,0.2166189,Home,20,2220,6380.916667,72093,0.191127596,0,46
25-04-2018,37,22901,525,Employed,Master,,48,Married,Rent,288,0.264111956,Auto,25,3120,1908.416667,89532,0.253403309,0,53
26-04-2018,43,49421,609,Employed,Bachelor,17161,72,Married,Other,438,0.258787054,Debt Consolidation,21,10050,4118.416667,9540,0.258068076,0,51
27-04-2018,39,43507,611,Employed,Associate,31845,48,Divorced,Rent,544,0.084789922,Home,32,1192,3625.583333,6480,0.265614,0,60
28-04-2018,25,41402,572,Employed,,25900,36,Married,Mortgage,419,0.092334724,Home,29,9920,3450.166667,4623,0.237735022,0,50
29-04-2018,53,37405,626,Employed,High School,15770,48,Married,Mortgage,442,0.299644558,Debt Consolidation,22,14266,3117.083333,4530,0.206105431,0,56
30-04-2018,49,48399,564,,Bachelor,19629,48,Single,Rent,346,0.21451177,Home,18,993,4033.25,75230,0.264095006,0,51
01-05-2018,49,44775,574,Employed,High School,20270,48,Divorced,Mortgage,228,0.1961324,Education,28,3070,3731.25,8511,0.219604327,0,51
02-05-2018,29,125711,580,Employed,Associate,12133,48,Widowed,Own,543,0.214796498,Home,20,16833,10475.91667,8014,0.21812612,1,40.8
03-05-2018,56,15131,634,Employed,Master,25599,48,Married,Rent,351,0.381070565,Home,25,2458,1260.916667,58703,0.228322593,0,59
04-05-2018,23,73576,603,EMPLOYED,Bachelor,12055,36,Married,Other,491,0.249302105,Education,26,1924,6131.333333,4647,0.175438646,1,41.6
05-05-2018,47,50345,602,Employed,Bachelor,18805,48,Married,Mortgage,441,0.087930541,Home,24,13605,4195.416667,47177,0.232486555,0,52
06-05-2018,66,56816,,Employed,Associate,20719,12,Single,Mortgage,288,0.076462014,Auto,28,8124,4734.666667,621711,0.139414951,1,28.8
07-05-2018,28,34588,621,,Master,18962,48,Single,Mortgage,444,0.281664771,Debt Consolidation,36,8955,2882.333333,78693,0.240947552,0,52
08-05-2018,33,55383,565,Employed,Associate,9093,48,Married,Own,419,0.093625715,Auto,18,6607,4615.25,7531,0.23296114,1,40
09-05-2018,41,,,Employed,High School,15086,,Married,Mortgage,323,0.189328507,Debt Consolidation,24,562,5431.666667,3079,0.232624658,1,40
10-05-2018,33,15000,523,Employed,Bachelor,13879,60,Married,Rent,248,0.366896047,Auto,29,12973,1250,21596,0.269063475,0,56
11-05-2018,21,149736,560,Employed,Associate,27917,48,Married,Own,604,0.364732771,Auto,27,3003,12478,279531,0.208264443,1,37.6
12-05-2018,40,42717,585,Employed,High School,41561,24,Divorced,Other,326,0.252630804,Home,21,489,3559.75,37949,0.214000198,0,53
13-05-2018,27,66417,590,,,9493,48,Married,Mortgage,408,0.190629616,Home,27,2012,5534.75,87273,0.191983112,1,40
14-05-2018,45,22121,602,Employed,Bachelor,18805,60,Divorced,Other,250,0.064124248,Home,32,667,1843.416667,56022,0.237957438,0,47
15-05-2018,28,37558,620,Employed,Master,18686,60,Married,Rent,278,0.219745034,Education,24,4575,3129.833333,2660,0.227713505,0,49
16-05-2018,58,134691,621,Employed,Bachelor,16421,24,Married,Rent,607,0.169401203,Home,28,1619,11224.25,20839,0.198068674,1,40
17-05-2018,30,33101,539,EMPLOYED,High School,29824,60,Married,Rent,358,0.163751052,Education,17,2548,2758.416667,211332,0.238971475,0,46
18-05-2018,36,44364,439,Employed,,5538,36,Divorced,Mortgage,313,0.30184152,Other,26,2471,3697,195449,0.256212502,1,40.8
19-05-2018,49,38596,499,Employed,Master,13078,36,Married,Other,292,0.387717694,Debt Consolidation,24,1121,3216.333333,4304,0.255899355,0,60
20-05-2018,25,139954,439,Unemployed,High School,40858,48,Single,Rent,293,0.448911039,Auto,28,427,11662.83333,45696,0.312445458,0,56
21-05-2018,42,53444,521,Unemployed,Bachelor,16462,60,Married,Other,730,0.237526015,Auto,24,4608,4453.666667,11955,0.288080282,0,55
22-05-2018,55,113523,643,,High School,10990,60,Married,Own,427,0.221712026,Auto,25,4279,9460.25,112469,0.203889021,1,35.2
23-05-2018,20,31270,581,Employed,Bachelor,6624,12,Married,Mortgage,151,0.092079081,Other,27,2857,2605.833333,47138,0.173323616,0,58
24-05-2018,42,46717,520,Employed,High School,20915,60,Divorced,Other,616,0.441898169,Auto,25,1085,3893.083333,3094,0.245702449,0,57
25-05-2018,43,56613,564,Employed,High School,25148,36,Single,Mortgage,340,0.435346558,Home,20,4138,4717.75,179210,0.241327041,0,56
26-05-2018,49,86882,612,Employed,Bachelor,51374,72,Married,Rent,380,0.225287113,Home,35,10374,7240.166667,4755,0.277772588,0,47
27-05-2018,25,69876,598,Employed,,17992,96,Single,Rent,545,0.258154691,Debt Consolidation,31,915,5823,12570,0.272305298,0,51
28-05-2018,24,32582,513,Self-Employed,Bachelor,26598,60,Divorced,Rent,231,0.146652255,Debt Consolidation,24,288,2715.166667,21485,0.272707952,0,55
29-05-2018,46,101562,612,Employed,,30836,84,Divorced,Mortgage,323,0.189514885,Education,26,7528,8463.5,26110,0.236658705,0,54
2018-053-0,43,24611,548,Unemploeyd,Bcahelor,21110,24,Married,Other,489,0.222317809,Education,30,10586,2050.916667,169077,0.247342383,0,54
31-05-2018,43,22390,594,Employed,Associate,17603,120,Married,Own,389,0.399641944,Auto,19,612,1865.833333,8633,0.292970668,0,55
01-06-2018,44,47430,,Employed,Bachelor,32684,60,Married,Mortgage,377,0.191575883,Debt Consolidation,31,673,3952.5,25415,0.232355477,0,50
02-06-2018,31,57105,500,Employed,Master,24760,36,Single,Rent,168,0.328967583,Home,15,2593,4758.75,1632,0.268101331,0,53
03-06-2018,42,28751,536,Employed,Bachelor,30150,60,Married,Own,343,0.338673753,Debt Consolidation,19,8298,2395.916667,13656,0.258890882,0,59
04-06-2018,43,43567,547,Employed,Bachelor,17390,24,Married,Mortgage,308,0.265708642,Debt Consolidation,28,12906,3630.583333,119722,0.238016836,0,48
05-06-2018,31,20113,575,Employed,Master,27214,36,Married,Own,347,0.452728607,Other,20,4698,1676.083333,52656,0.226757609,0,60
06-06-2018,62,52633,682,Unemployed,Master,13197,120,Married,Own,347,0.17797028,Auto,22,4853,4386.083333,6415,0.224554753,0,59
07-06-2018,45,93617,557,Employed,Associate,10868,84,Single,Own,826,0.467310221,Home,18,3489,7801.416667,25397,0.246893799,1,43.2
08-06-2018,25,34276,574,Employed,Doctorate,5163,96,Married,Rent,365,0.198152855,Debt Consolidation,27,3141,2856.333333,32248,0.251665486,0,51
09-06-2018,47,25819,587,Self-Employed,High School,12824,36,Married,Rent,103,0.201914092,Debt Consolidation,30,1622,2151.583333,49734,0.182182232,0,61
10-06-2018,28,72220,546,Employed,Doctorate,11336,36,Married,Mortgage,533,0.094343712,Debt Consolidation,27,1517,6018.333333,103795,0.212421409,1,36
11-06-2018,49,30032,594,EMPLOYED,High School,5789,24,Single,Mortgage,148,0.604385664,Debt Consolidation,32,1632,2502.666667,67597,0.19514352,0,61
12-06-2018,53,259639,,Employed,Associate,39203,12,Single,Rent,189,0.215905987,Debt Consolidation,26,21809,21636.58333,2180,0.208267431,1,40.8
13-06-2018,30,58238,628,Self-Employed,Master,15647,48,Married,Mortgage,770,0.177226417,Debt Consolidation,31,8060,4853.166667,43114,0.196808625,0,64
14-06-2018,51,91953,,Employed,High School,21715,48,Married,Rent,264,0.505545749,Debt Consolidation,30,2879,7662.75,16980,0.191006847,1,45.6
15-06-2018,44,22237,609,Employed,High School,33644,60,Divorced,Rent,816,0.471472544,Home,28,1967,1853.083333,40922,0.226311264,0,54
16-06-2081,49,74085,653,Employde,Bacheolr,36208,12,Married,Other,375,0.56356516,Debt Consolidation,32,2043,6173.75,7553,0.171099938,0,52
17-06-2018,62,33370,633,Employed,Bachelor,18943,24,Divorced,Rent,545,0.308701359,Home,24,966,2780.833333,10973,0.18541125,0,54
18-06-2018,37,36562,553,Employed,High School,38934,48,Married,Own,782,0.373454925,Home,26,636,3046.833333,2603208,0.221785163,1,42.4
19-06-2018,30,25658,583,Employed,Associate,6423,36,Married,Own,374,0.065644668,Other,20,2411,2138.166667,57777,0.197495976,0,51
20-06-2018,29,75095,590,Employed,Associate,11657,120,Married,Rent,182,0.582569969,Auto,15,1570,6257.916667,41471,0.3259884,0,66
21-06-2018,30,50657,591,Employed,High School,20536,48,Married,Mortgage,638,0.061151466,Auto,27,20114,4221.416667,107416,0.195913608,0,46
22-06-2018,39,48707,582,Employed,Bachelor,9741,36,Married,Other,558,0.251478066,Home,30,2817,4058.916667,69075,0.2444892,0,50
23-06-2018,44,99138,524,Employed,High School,23007,48,Single,Rent,472,0.2485996,Auto,25,2596,8261.5,1156,0.244342503,1,40.8
24-06-2018,43,,,Employed,Associate,40424,,Married,Rent,340,0.236268129,Home,28,3207,4023.333333,84027,0.190317237,0,51
25-06-2018,49,88064,,Employed,Bachelor,24156,120,Married,Other,382,0.109589903,Other,28,7110,7338.666667,135833,0.259907112,1,36.8
26-06-2018,40,177855,625,Employed,Master,,60,Married,Mortgage,280,0.436205217,Education,24,3966,14821.25,95498,0.231702553,1,38.4
27-06-2018,57,55440,,Employed,Bachelor,31937,12,Widowed,Own,497,0.32860438,Auto,25,958,4620,21118,0.185523327,0,50
28-06-2018,36,44377,558,Employed,High School,11938,36,Married,Rent,215,0.172368675,Debt Consolidation,23,2782,3698.083333,52424,0.210405515,1,40
2018-06-92,72,115677,511,Employde,Bahcelor,27962,24,Married,Own,364,0.482772273,Debt Consolidation,26,1314,9639.75,53022,0.281752414,0,54
30-06-2018,47,,654,Employed,Master,13145,,Single,Mortgage,210,0.107168337,Education,27,687,13594.41667,61994,0.196072881,1,32.8
01-07-2018,29,51989,517,Employed,Bachelor,26850,72,Married,Mortgage,351,0.486149061,Auto,22,1462,4332.416667,44452,0.308280968,0,58
02-07-2018,27,28941,612,Employed,Associate,15007,60,Single,Mortgage,112,0.528454795,Education,23,1934,2411.75,44144,0.188136857,0,57
03-07-2018,45,117455,652,Unemployed,Doctorate,19372,48,Divorced,Own,697,0.680913806,Auto,26,3583,9787.916667,279360,0.185810621,1,44.8
2018-0-704,37,68157,565,Emploeyd,Bcahelor,15091,36,Married,Mortgage,394,0.085408128,Education,28,4080,5679.75,3047,0.231503654,1,40
05-07-2018,48,,579,Employed,Master,17310,,Married,Mortgage,451,0.11822654,Home,18,1689,9788,11421,0.218896407,1,39.2
06-07-2018,45,84230,579,Employed,Bachelor,61376,72,Married,Rent,565,0.093365907,Home,34,922,7019.166667,14999,0.293986417,0,56
07-07-2018,39,47910,515,EMPLOYED,High School,25068,24,Married,Mortgage,447,0.021372031,Education,17,3131,3992.5,57154,0.239197996,0,48
08-07-2018,29,37709,557,Employed,High School,,60,Married,Own,435,0.462977458,Debt Consolidation,25,1785,3142.416667,4672,0.304728,0,65
09-07-2018,21,73625,,Employed,Bachelor,12927,24,Single,Mortgage,182,0.192876458,Home,21,1176,6135.416667,138741,0.20860742,0,58
10-07-2018,34,19757,592,Employed,Associate,17292,120,Married,Rent,385,0.181078529,Education,28,3053,1646.416667,2757,0.254743575,0,53
